version,upload_time,requires_python,all_required_symbols_present,AdamW,Conv1D_via_modeling_utils,reexport_ok,selection_status
4.21.3,2022-09-05T10:10:40.820960Z,>=3.7.0,True,True,True,True,ELIGIBLE_UNTESTED
4.24.0,2022-11-01T14:03:27.225977Z,>=3.7.0,True,True,True,True,ELIGIBLE_UNTESTED
4.25.1,2022-12-01T21:17:38.631603Z,>=3.7.0,True,True,True,True,SELECTED_CANDIDATE_UNTESTED
4.26.1,2023-02-09T19:22:54.154851Z,>=3.7.0,True,True,True,True,RUNNER_UP_UNTESTED
4.27.4,2023-03-29T17:06:25.171474Z,>=3.7.0,True,True,True,True,ELIGIBLE_UNTESTED
4.28.1,2023-04-14T16:55:50.932167Z,>=3.7.0,True,True,True,True,ELIGIBLE_UNTESTED
4.29.2,2023-05-16T19:17:21.316968Z,>=3.7.0,True,True,True,True,ELIGIBLE_UNTESTED
4.30.2,2023-06-13T19:27:30.168653Z,>=3.7.0,True,True,True,True,ELIGIBLE_UNTESTED
