transformers_version,symbol_or_behavior,present_in_tagged_source,inspection_method,evidence_tag
4.26.1,PreTrainedTokenizer,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.26.1,get_linear_schedule_with_warmup,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.26.1,ACT2FN,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.26.1,Conv1D,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.26.1,find_pruneable_heads_and_indices,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.26.1,prune_conv1d_layer,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.26.1,GPT2PreTrainedModel,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.26.1,from_pretrained,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.26.1,save_pretrained,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.27.4,AdamW,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.27.4,AutoConfig,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.27.4,AutoTokenizer,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.27.4,PreTrainedModel,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.27.4,PreTrainedTokenizer,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.27.4,get_linear_schedule_with_warmup,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.27.4,ACT2FN,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.27.4,Conv1D,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.27.4,find_pruneable_heads_and_indices,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.27.4,prune_conv1d_layer,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.27.4,GPT2PreTrainedModel,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.27.4,from_pretrained,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.27.4,save_pretrained,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.28.1,AdamW,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.28.1,AutoConfig,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.28.1,AutoTokenizer,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.28.1,PreTrainedModel,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.28.1,PreTrainedTokenizer,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.28.1,get_linear_schedule_with_warmup,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.28.1,ACT2FN,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.28.1,Conv1D,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.28.1,find_pruneable_heads_and_indices,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.28.1,prune_conv1d_layer,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.28.1,GPT2PreTrainedModel,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.28.1,from_pretrained,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.28.1,save_pretrained,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.29.2,AdamW,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.29.2,AutoConfig,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.29.2,AutoTokenizer,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.29.2,PreTrainedModel,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.29.2,PreTrainedTokenizer,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.29.2,get_linear_schedule_with_warmup,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.29.2,ACT2FN,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.29.2,Conv1D,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.29.2,find_pruneable_heads_and_indices,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.29.2,prune_conv1d_layer,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.29.2,GPT2PreTrainedModel,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.29.2,from_pretrained,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.29.2,save_pretrained,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.30.2,AdamW,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.30.2,AutoConfig,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.30.2,AutoTokenizer,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.30.2,PreTrainedModel,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.30.2,PreTrainedTokenizer,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.30.2,get_linear_schedule_with_warmup,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.30.2,ACT2FN,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.30.2,Conv1D,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.30.2,find_pruneable_heads_and_indices,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.30.2,prune_conv1d_layer,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.30.2,GPT2PreTrainedModel,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.30.2,from_pretrained,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.30.2,save_pretrained,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
