file_id,path,source_url,expected_size,actual_size,size_ok,published_md5,local_md5,md5_ok,local_sha256,attempts,status,elapsed_sec
CORE_EN_016,core-i18n/en/labels_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/labels_en.ttl.bz2,190221571,190221571,True,436ab66e311d0cbf06dd797565aaed7f,436ab66e311d0cbf06dd797565aaed7f,True,df8f488fcee02cde0a10a207657e05935c1319bdfff4f50116ffb6fc1671680e,1,DOWNLOADED_VALID,6.382
CORE_EN_017,core-i18n/en/long_abstracts_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/long_abstracts_en.ttl.bz2,818348209,818348209,True,3a95e0ef8dc9455a9838f860c354c319,3a95e0ef8dc9455a9838f860c354c319,True,d6462eccfe3e2239bc9530648cdbf357888d4b4afa759e5bec49a511b3e23a7d,1,DOWNLOADED_VALID,146.65
CORE_EN_018,core-i18n/en/mappingbased_literals_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/mappingbased_literals_en.ttl.bz2,137316236,137316236,True,117ba7b43d2d56669084c795383eeaff,117ba7b43d2d56669084c795383eeaff,True,0d0d6b55b240758075bb74b6c0f5144e2319f3dbf17a452f780fd43356f5d518,1,DOWNLOADED_VALID,21.295
CORE_EN_019,core-i18n/en/mappingbased_objects_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/mappingbased_objects_en.ttl.bz2,172372141,172372141,True,811a0158ac966ff51fce1731ff427eb3,811a0158ac966ff51fce1731ff427eb3,True,a5811aa5a6bea87e7e75db3f3ef7a9ce55e588dc61f72fec5c920b718f9c5953,1,DOWNLOADED_VALID,8.426
CORE_EN_020,core-i18n/en/page_ids_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/page_ids_en.ttl.bz2,175257242,175257242,True,96c9d3ca9daf91da610a74cad1977b30,96c9d3ca9daf91da610a74cad1977b30,True,8855b70f2d01ac07696d8de4a3268ab9571a213df5dc33360cd181c78c5a161c,1,DOWNLOADED_VALID,98.174
CORE_EN_021,core-i18n/en/persondata_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/persondata_en.ttl.bz2,66513289,66513289,True,57f9fb245bc7f6e43164db9da31b596b,57f9fb245bc7f6e43164db9da31b596b,True,8a9b86aabfafcb1a0398aaff8403665062875b4c56da2d5f058fa4482d9f221f,1,DOWNLOADED_VALID,65.562
CORE_EN_022,core-i18n/en/revision_ids_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/revision_ids_en.ttl.bz2,197916335,197916335,True,6f1b3582dc8050bf4dbfa3e506ccaaf7,6f1b3582dc8050bf4dbfa3e506ccaaf7,True,d89af42f1231716cddb73fc37943a26ac1d0516ef1cc62025c607d6144442585,1,DOWNLOADED_VALID,60.749
CORE_EN_023,core-i18n/en/revision_uris_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/revision_uris_en.ttl.bz2,261380021,261380021,True,994dcb9bfdf611fd177c512cf598f6c3,994dcb9bfdf611fd177c512cf598f6c3,True,4ac2891d441ea896fc6593caf2d56893a282123437d0d6c95eb40e0c0041640b,1,DOWNLOADED_VALID,-3.164
CORE_EN_024,core-i18n/en/short_abstracts_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/short_abstracts_en.ttl.bz2,547637274,547637274,True,10cb432cb34b2bbac1f4ea3f2ac57782,10cb432cb34b2bbac1f4ea3f2ac57782,True,5f5211880d80d4daef9eb7a090e5f3a6cdccd4c03131def041288658e8574767,1,DOWNLOADED_VALID,16.195
CORE_EN_025,core-i18n/en/skos_categories_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/skos_categories_en.ttl.bz2,45681114,45681114,True,22977966069a2c707334ea0562e61d3d,22977966069a2c707334ea0562e61d3d,True,050b0053d457e14497fd6e8b0f5cdd4dcc19465bca7c5cfc5821b9d3d912fad9,1,DOWNLOADED_VALID,1.704
CORE_EN_026,core-i18n/en/specific_mappingbased_properties_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/specific_mappingbased_properties_en.ttl.bz2,9150864,9150864,True,8f8b990150da54c1276bb1459c0867d4,8f8b990150da54c1276bb1459c0867d4,True,f4e00f3450fa9321046f0fba5bb390284b8485f2b5e969fcd072b560b7cbc2ee,1,DOWNLOADED_VALID,0.872
CORE_EN_027,core-i18n/en/transitive_redirects_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/transitive_redirects_en.ttl.bz2,108901507,108901507,True,766cde4cfddc660e086cbd8816c8021b,766cde4cfddc660e086cbd8816c8021b,True,11ddf8bc1868cf4f174bc52593e13a57b75e93180d38111f664a4ca603a1d65f,1,DOWNLOADED_VALID,3.61
CORE_EN_028,core-i18n/en/uri_same_as_iri_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/uri_same_as_iri_en.ttl.bz2,16221273,16221273,True,37eed571dc2b401244288103c8b6c761,37eed571dc2b401244288103c8b6c761,True,5e5cee33244a862648e25126f77031c42fd38de20a49f8e6b92173500583bbe1,1,DOWNLOADED_VALID,0.943
CORE_EN_029,core-i18n/en/wikipedia_links_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/wikipedia_links_en.ttl.bz2,317184934,317184934,True,27d2a1e91eefc305a30289508dcb48df,27d2a1e91eefc305a30289508dcb48df,True,d0909388056675789c423d7c9a10f775df5201bab4b7634068589f1fa358b962,1,DOWNLOADED_VALID,9.814
LHD_001,core-i18n/en/instance_types_lhd_dbo_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/instance_types_lhd_dbo_en.ttl.bz2,39643080,39643080,True,,7f219ca8135e8a5dd96fc0c76c1c00a3,,d25bae726bed09dc79a8ab6a60944dcdc527ca9e5224115dbe9f0ba1a49696a9,1,DOWNLOADED_VALID,1.387
LHD_002,core-i18n/en/instance_types_lhd_ext_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/instance_types_lhd_ext_en.ttl.bz2,46325495,46325495,True,,980f4b156d4c60e67addf2c17c2a734f,,26f97ae4b5b1fb431249d6dc8210b979618878c256172b8e449f023c79493a1d,1,DOWNLOADED_VALID,2.113
LINKS_001,links/amsterdammuseum.nt.bz2,https://downloads.dbpedia.org/2016-10/links/amsterdammuseum.nt.bz2,6725,6725,True,d6717c637a8f46455553dfc91855c097,d6717c637a8f46455553dfc91855c097,True,4730380a97e94fd7246fc049f99789da9acdc263a4255045a8f3001d5ddd9fa0,1,DOWNLOADED_VALID,0.217
LINKS_002,links/bbc-things_links.nt.bz2,https://downloads.dbpedia.org/2016-10/links/bbc-things_links.nt.bz2,119963,119963,True,131eff69a1728eb1542749a1aeb51e72,131eff69a1728eb1542749a1aeb51e72,True,4bc6c273505e81967afba783b2136a8499df012558240c347111d69a72210c26,1,DOWNLOADED_VALID,0.322
LINKS_003,links/bbcwildlife_links.nt.bz2,https://downloads.dbpedia.org/2016-10/links/bbcwildlife_links.nt.bz2,4942,4942,True,a90ce758e20ea2d17261eedfaff56a15,a90ce758e20ea2d17261eedfaff56a15,True,052a0a91fb0c98bb7060ce85e0d17a6c34531962d8911db0c2fdfb5cc7d1b2c6,1,DOWNLOADED_VALID,0.169
LINKS_004,links/bl-example.nt.bz2,https://downloads.dbpedia.org/2016-10/links/bl-example.nt.bz2,16970,16970,True,9808bf59acf9903fcdb6876a24f213fa,9808bf59acf9903fcdb6876a24f213fa,True,f15e8e011e236c3e25cbb41f310b7601f5db0c41df38869bfecb083adb7c2ab5,1,DOWNLOADED_VALID,0.229
LINKS_005,links/bookmashup_links.nt.bz2,https://downloads.dbpedia.org/2016-10/links/bookmashup_links.nt.bz2,72117,72117,True,0b434102ccbfe51a02d8e17e5e37fc25,0b434102ccbfe51a02d8e17e5e37fc25,True,69bece5a2f36534b8e47dd6910d8a2c8d65ffd3c03796e6968cbab374b881e32,1,DOWNLOADED_VALID,0.346
LINKS_006,links/bricklink.nt.bz2,https://downloads.dbpedia.org/2016-10/links/bricklink.nt.bz2,25568,25568,True,55760a0645d0e588ed4cce36ec61fe56,55760a0645d0e588ed4cce36ec61fe56,True,f43c69afe8dd6db825adfe3f61e83c0384bc23e54c430577dbb0864bdf6f65b7,1,DOWNLOADED_VALID,0.283
LINKS_007,links/cordis.nt.bz2,https://downloads.dbpedia.org/2016-10/links/cordis.nt.bz2,2454,2454,True,dff6c01e60fccf0f045991098de42a10,dff6c01e60fccf0f045991098de42a10,True,6adb08f584d4f6c5fea6330a3d6b3c8a52a5499b3a5fae632a946b0d770e8eea,1,DOWNLOADED_VALID,0.156
LINKS_008,links/dataEco_links.nt.bz2,https://downloads.dbpedia.org/2016-10/links/dataEco_links.nt.bz2,697,697,True,c69d25ffe00c6693feee0768e4e4d09b,c69d25ffe00c6693feee0768e4e4d09b,True,34cc07dfc88ccd061c7982bd254fef2c3c586e389ea055b7472eba09476bcfa5,1,DOWNLOADED_VALID,0.196
LINKS_009,links/dblp.nt.bz2,https://downloads.dbpedia.org/2016-10/links/dblp.nt.bz2,2448,2448,True,580c0d9e94672a28ad498b9ea970a331,580c0d9e94672a28ad498b9ea970a331,True,65aae4644fd6d2fcb29c2d8c4f1a024349f3a0d105b55564c820e6bf95b5856e,1,DOWNLOADED_VALID,0.158
LINKS_010,links/dbtune_links.nt.bz2,https://downloads.dbpedia.org/2016-10/links/dbtune_links.nt.bz2,16877,16877,True,d4fb7ace219722f9108b923e3bed391d,d4fb7ace219722f9108b923e3bed391d,True,36001d00ede2a3a7c234942e063b01e696e51aa8316a68f0311fb980b3381e39,1,DOWNLOADED_VALID,0.207
LINKS_011,links/diseasome_links.nt.bz2,https://downloads.dbpedia.org/2016-10/links/diseasome_links.nt.bz2,19254,19254,True,1038381e5d92bcfe75cf55f20caa5af5,1038381e5d92bcfe75cf55f20caa5af5,True,86cf27e249b0f905c9cb16fe7afb8cb834397eed065641d04a8112c13bec5198,1,DOWNLOADED_VALID,0.223
LINKS_012,links/dnb-links.nt.bz2,https://downloads.dbpedia.org/2016-10/links/dnb-links.nt.bz2,3264943,3264943,True,4502d6c3f68e8a8732856da5421fe74a,4502d6c3f68e8a8732856da5421fe74a,True,7015cc06bbf80d8e73a1f7dc8170856014caa854cedb5760ecd8726d789a0b6b,1,DOWNLOADED_VALID,1.383
LINKS_013,links/drugbank_links.nt.bz2,https://downloads.dbpedia.org/2016-10/links/drugbank_links.nt.bz2,32460,32460,True,3514724da822898a9f817a77c9da27d5,3514724da822898a9f817a77c9da27d5,True,3c626bb5f1b0994205533d046bf8283f97c3bbc3739bb5ee0f6b9b2771e04c40,1,DOWNLOADED_VALID,0.229
LINKS_014,links/eunis_links.nt.bz2,https://downloads.dbpedia.org/2016-10/links/eunis_links.nt.bz2,101388,101388,True,814d33b775a16cf3f85ad74bcfb18983,814d33b775a16cf3f85ad74bcfb18983,True,81fdcb19e9dd181592b23a98c7a7aa67809200edd06718a8e6118295e8e088ee,1,DOWNLOADED_VALID,0.313
LINKS_015,links/eurostat_linkedstatistics_links.nt.bz2,https://downloads.dbpedia.org/2016-10/links/eurostat_linkedstatistics_links.nt.bz2,2317,2317,True,d10b2e9fd8166e8846c35c26285d7848,d10b2e9fd8166e8846c35c26285d7848,True,956d6446f59f8224d3022eca2d42ca6039637f309edb809957d27a6dda5ec850,1,DOWNLOADED_VALID,0.163
LINKS_016,links/eurostat_wbsg.nt.bz2,https://downloads.dbpedia.org/2016-10/links/eurostat_wbsg.nt.bz2,1680,1680,True,4ed6a96aeb4ec86a422fdcb113b9a8ef,4ed6a96aeb4ec86a422fdcb113b9a8ef,True,d1346de672e120fcf67a7f9571b6326fc9eb1a4dd81b39830daeebe8a7bf133b,1,DOWNLOADED_VALID,0.159
LINKS_017,links/factbook.nt.bz2,https://downloads.dbpedia.org/2016-10/links/factbook.nt.bz2,3920,3920,True,8fe8240b60db5abc16343a2125ddf54b,8fe8240b60db5abc16343a2125ddf54b,True,8b0ce397b8e45c9779aa222b865c1a6bc04daa9169629a213cff116d9a248084,1,DOWNLOADED_VALID,0.15
